Designator,Mid X,Mid Y,Rotation,Layer
BZ1,51.423,-68.952,0.0,top
C1,126.702999,-61.166999,90.0,top
C10,191.253999,-79.112999,90.0,top
C11,186.755499,-73.397999,0.0,top
C12,194.809999,-79.112999,90.0,top
C13,100.06875,-63.2,270.0,top
C14,108.0,-63.05,270.0,top
C15,219.222999,-103.474999,90.0,top
C16,219.222999,-111.602999,90.0,top
C17,219.222999,-119.857999,90.0,top
C19,173.403999,-109.988999,90.0,top
C2,111.2,-65.8,180.0,top
C20,169.847999,-109.988999,90.0,top
C3,120.606999,-54.943999,90.0,top
C4,89.0,-55.8,90.0,top
C5,91.8,-55.8,90.0,top
C6,103.6,-74.6,90.0,top
C7,111.0,-74.13125,90.0,top
C8,223.0,-83.6,180.0,top
C9,186.755499,-85.550999,0.0,top
D1,88.8,-74.0,270.0,top
D10,96.476999,-126.444999,180.0,top
D11,85.173999,-137.239999,270.0,top
D12,62.4,-111.8,90.0,top
D13,173.403999,-113.671999,90.0,top
D2,92.0,-74.0,270.0,top
D3,101.0,-69.4,180.0,top
D4,96.2,-65.8,180.0,top
D5,223.159999,-101.950999,90.0,top
D6,223.159999,-110.078999,90.0,top
D7,223.159999,-118.333999,90.0,top
D9,141.744999,-96.723999,180.0,top
IC1,104.4,-63.05,0.0,top
J1,81.0,-51.06,180.0,top
J10,154.642999,-61.801999,0.0,top
J11,119.082999,-61.801999,0.0,top
J12,157.436999,-61.801999,0.0,top
J2,53.423999,-128.222999,270.0,top
J3,53.423999,-100.409999,270.0,top
J4,53.423999,-110.696999,270.0,top
J5,50.113,-78.943,0.0,top
J6,133.743999,-117.551999,90.0,top
J7,133.179999,-82.248999,90.0,top
J8,133.179999,-85.931999,90.0,top
J9,121.876999,-61.801999,0.0,top
JST1,96.3,-60.40675,0.0,top
K1,78.188999,-133.302999,180.0,top
Q1,96.2,-61.2,90.0,top
Q2,90.380999,-139.0,0.0,top
Q3,66.655,-107.26,270.0,top
Q4,165.656999,-113.544999,90.0,top
Q5,60.567,-70.222,270.0,top
Q6,107.4,-69.4,0.0,top
Q7,109.1,-79.1,0.0,top
Q8,96.4,-74.6,90.0,top
R1,111.2,-62.0,0.0,top
R10,96.4,-69.4,0.0,top
R11,137.299999,-96.723999,0.0,top
R12,96.476999,-130.000999,180.0,top
R13,90.380999,-134.9,0.0,top
R14,74.6,-108.2,270.0,top
R15,54.05,-82.88,0.0,top
R16,54.05,-86.563,180.0,top
R17,165.6,-109.988999,90.0,top
R18,169.847999,-113.671999,270.0,top
R19,109.303999,-113.236999,180.0,top
R2,88.8,-68.6,270.0,top
R20,96.6,-114.2,270.0,top
R21,103.4,-86.0,180.0,top
R22,186.230999,-132.086999,180.0,top
R23,186.230999,-135.769999,180.0,top
R24,186.230999,-139.452999,180.0,top
R25,186.230999,-143.135999,180.0,top
R26,186.230999,-146.818999,0.0,top
R27,60.567,-65.523,180.0,top
R28,92.6625,-79.2,0.0,top
R29,98.2625,-79.2,0.0,top
R3,92.0,-68.6,270.0,top
R30,219.209999,-98.633999,90.0,top
R31,165.6,-116.4,180.0,top
R32,63.0,-99.0,180.0,top
R4,100.2625,-74.6,0.0,top
R5,102.5,-79.2,180.0,top
R6,165.609999,-57.150999,0.0,top
R7,165.609999,-53.750999,0.0,top
R8,226.4,-74.950999,0.0,top
R9,183.326499,-85.550999,0.0,top
RV1,97.873999,-89.233999,90.0,top
SD1,210.409999,-58.807999,180.0,top
SW1,111.2,-52.6,180.0,top
SW10,146.189999,-107.137999,180.0,top
SW11,171.056999,-100.163999,0.0,top
SW14,89.2,-113.2,0.0,top
SW15,106.72,-95.2,180.0,top
SW16,170.990999,-128.023999,0.0,top
SW17,170.990999,-141.738999,0.0,top
SW18,70.8,-62.6,180.0,top
SW19,191.609999,-57.750999,0.0,top
SW2,171.409999,-62.223999,0.0,top
SW3,212.209999,-73.950999,0.0,top
SW4,170.562999,-79.620999,0.0,top
SW5,222.783999,-93.750999,0.0,top
SW6,130.187999,-96.723999,0.0,top
SW7,103.993,-137.2,180.0,top
SW8,70.523999,-99.0,180.0,top
SW9,67.639,-83.134,180.0,top
T1,198.690999,-137.126999,45.0,top
TP1,218.615999,-145.864999,0.0,top
U1,138.234999,-69.102999,0.0,top
U2,90.4,-62.2,270.0,top
U3,107.2,-74.6,180.0,top
U4,223.018999,-79.125,90.0,top
U5,185.040999,-78.858999,0.0,top
U6,92.031999,-129.619999,180.0,top
U7,196.409999,-105.550999,180.0,top
